
Thread,Function,Start,Finish,Duration
P#7T#0,MPI_Send,2460128066,2460139336,11270
P#7T#0,main,2460139336,2460318399,179063
P#2T#0,MPI_Recv,2418852757,2462649914,43797157
P#3T#0,MPI_Recv,2418675667,2462676904,44001237
P#2T#0,main,2462649914,2462768142,118228
P#2T#0,MPI_Send,2462768142,2462777536,9394
P#3T#0,main,2462676904,2462801050,124146
P#3T#0,MPI_Send,2462801050,2462811848,10798
P#2T#0,main,2462777536,2462969093,191557
P#3T#0,main,2462811848,2463018130,206282
P#13T#0,MPI_Recv,2364151598,2464035937,99884339
P#13T#0,main,2464035937,2464157762,121825
P#13T#0,MPI_Send,2464157762,2464195128,37366
P#13T#0,main,2464195128,2464357789,162661
P#12T#0,MPI_Recv,2376142794,2468002294,91859500
P#12T#0,main,2468002294,2468122161,119867
P#12T#0,MPI_Send,2468122161,2468135072,12911
P#12T#0,main,2468135072,2468494410,359338
P#14T#0,MPI_Recv,2404131739,2479977666,75845927
P#9T#0,MPI_Recv,2408030787,2480025904,71995117
P#15T#0,MPI_Recv,2360188979,2480059893,119870914
P#14T#0,main,2479977666,2480094587,116921
P#14T#0,MPI_Send,2480094587,2480102255,7668
P#9T#0,main,2480025904,2480149849,123945
P#9T#0,MPI_Send,2480149849,2480159975,10126
P#14T#0,main,2480102255,2480231971,129716
P#15T#0,main,2480059893,2480243259,183366
P#15T#0,MPI_Send,2480243259,2480253525,10266
P#9T#0,main,2480159975,2480339579,179604
P#15T#0,main,2480253525,2480408789,155264
P#10T#0,MPI_Recv,2406233080,2482209794,75976714
P#10T#0,main,2482209794,2482327691,117897
P#10T#0,MPI_Send,2482327691,2482335585,7894
P#10T#0,main,2482335585,2482459205,123620
P#8T#0,MPI_Recv,2404226621,2484183486,79956865
P#8T#0,main,2484183486,2484301367,117881
P#8T#0,MPI_Send,2484301367,2484311692,10325
P#8T#0,main,2484311692,2484457559,145867
P#16T#0,MPI_Recv,2432125293,2524264178,92138885
P#16T#0,main,2524264178,2524384522,120344
P#16T#0,MPI_Send,2524384522,2524393310,8788
P#16T#0,main,2524393310,2524526541,133231
P#17T#0,MPI_Recv,2424128060,2531971155,107843095
P#17T#0,main,2531971155,2532090379,119224
P#17T#0,MPI_Send,2532090379,2532098146,7767
P#17T#0,main,2532098146,2532236145,137999
P#18T#0,MPI_Recv,2424121240,2555780079,131658839
P#18T#0,main,2555780079,2555904660,124581
P#18T#0,MPI_Send,2555904660,2555914739,10079
P#18T#0,main,2555914739,2556208999,294260
P#19T#0,MPI_Recv,2400200081,2556699522,156499441
P#19T#0,main,2556699522,2556821765,122243
P#19T#0,MPI_Send,2556821765,2556834963,13198
P#19T#0,main,2556834963,2557036286,201323
P#23T#0,MPI_Recv,2396043329,2560072073,164028744
P#23T#0,main,2560072073,2560250533,178460
P#23T#0,MPI_Send,2560250533,2560260428,9895
P#23T#0,main,2560260428,2560402197,141769
P#22T#0,MPI_Recv,2392146159,2572013418,179867259
P#20T#0,MPI_Recv,2404135051,2572061708,167926657
P#22T#0,main,2572013418,2572132791,119373
P#22T#0,MPI_Send,2572132791,2572140695,7904
P#20T#0,main,2572061708,2572250827,189119
P#20T#0,MPI_Send,2572250827,2572270604,19777
P#22T#0,main,2572140695,2572271248,130553
P#20T#0,main,2572270604,2572435513,164909
P#21T#0,MPI_Recv,2404137251,2583997244,179859993
P#21T#0,main,2583997244,2584120557,123313
P#21T#0,MPI_Send,2584120557,2584129250,8693
P#25T#0,MPI_Recv,2376149227,2584174921,208025694
P#21T#0,main,2584129250,2584272350,143100
P#25T#0,main,2584174921,2584294854,119933
